Date,Open,High,Low,Close,Adj Close,Volume
2020-02-26,147.649994,147.949997,143.800003,144.500000,144.500000,1794832
2020-02-27,144.699997,146.699997,141.100006,145.000000,145.000000,1913144
2020-02-28,139.000000,139.500000,127.050003,129.000000,129.000000,4047465
2020-03-02,133.500000,133.800003,123.800003,125.199997,125.199997,4629842
2020-03-03,126.750000,131.300003,125.250000,130.399994,130.399994,3144747
2020-03-04,130.500000,130.500000,120.550003,126.300003,126.300003,3369295
2020-03-05,128.000000,129.800003,124.300003,125.650002,125.650002,4052208
2020-03-06,114.300003,117.250000,112.949997,114.250000,114.250000,4170651
2020-03-09,114.250000,114.250000,114.250000,114.250000,114.250000,0
2020-03-11,105.199997,106.500000,97.750000,99.000000,99.000000,5742651
2020-03-12,92.699997,94.900002,85.750000,88.000000,88.000000,8037400
2020-03-13,82.199997,94.199997,78.000000,89.750000,89.750000,10613571
2020-03-16,86.750000,87.650002,82.199997,82.949997,82.949997,3827222
2020-03-17,82.699997,84.800003,77.500000,77.900002,77.900002,5206037
2020-03-18,80.000000,80.500000,75.099998,75.500000,75.500000,3815807
2020-03-19,70.599998,76.500000,68.800003,72.949997,72.949997,5387940
2020-03-20,74.300003,79.550003,72.699997,77.400002,77.400002,4843183
2020-03-23,71.000000,72.099998,69.699997,69.699997,69.699997,1526872
2020-03-24,70.000000,71.199997,63.599998,68.599998,68.599998,2487156
2020-03-25,68.900002,71.699997,67.099998,70.199997,70.199997,2611383
2020-03-26,71.699997,73.500000,68.300003,70.800003,70.800003,2888342
